task_id,split,status,primary_prior,secondary_priors,inclusion_basis,exclusion_reason,predicted_boundary,inventory_row_hash,manual_inspection,notes
00576224,training,include,spatial_transform,color_role;counting;objectness,grids 2x2..6x6; 7 colors; up to 36 components; 2 train shape-change(s); density 1..1,,capacity pressure (shape change carries structural info),ec29614b9b72cada897342ef322cb8d753eb5289b8498e757f4f134cdb5c8c5c,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
007bbfb7,training,include,symmetry,color_role;counting;local_completion;objectness;spatial_transform,grids 3x3..9x9; 5 colors; up to 9 components; symmetries: reflect_h;reflect_v; 5 train shape-change(s); density 0.1111..0.7778,,gauge-breaking ambiguity (symmetry as gauge),bcddde75c0fe0311cf8fc8d855e48706139a87d05af9009064b1c1e9438c1b65,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
009d5c81,training,include,counting,color_role;local_completion;objectness,grids 14x14..14x14; 6 colors; up to 10 components; density 0.0714..0.1888,,capacity pressure (count is high-entropy),7e7e2781c3b161b2a2409cb239515df3b294ead1033759317bf1c93e735519f3,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
00d62c1b,training,include,symmetry,color_role;counting;local_completion;objectness,grids 6x6..20x20; 3 colors; up to 23 components; symmetries: rot180; density 0.15..0.35,,gauge-breaking ambiguity (symmetry as gauge),534e5b3b17b6ea2a98de103004286a1f1cb1e66bcc56b7491a1737b0461e0d4b,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
00dbd492,training,include,counting,color_role;local_completion;objectness,grids 7x7..20x20; 5 colors; up to 12 components; density 0.2222..0.6049,,capacity pressure (count is high-entropy),e144a9d24efd32aca1681e84af9baae7d026a62da8490b93c37e26615a34dc68,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
017c7c7b,training,include,symmetry,color_role;counting;objectness;spatial_transform,grids 6x3..9x3; 3 colors; up to 13 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.4444..0.5556,,gauge-breaking ambiguity (symmetry as gauge),64024bf3ce23a6ed5f69890b72eb66581c4df5560ab26342fa63886fe21e5127,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
025d127b,training,include,counting,color_role;local_completion;objectness,grids 8x9..14x10; 5 colors; up to 8 components; density 0.1587..0.2222,,capacity pressure (count is high-entropy),2d04168bfcb5ff89d67b20bf916230e05d4667006834d857214dafee85f2f00f,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
03560426,training,include,local_completion,color_role;counting;objectness,grids 10x10..10x10; 8 colors; up to 4 components; density 0.14..0.22,,non-local information (global context required to fill),3de02c5f4b1d9b85e20af9f3633e70d427a79a4f76fb354f19680257244e0a8b,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
045e512c,training,include,counting,color_role;local_completion;objectness,grids 21x21..21x21; 8 colors; up to 12 components; density 0.0181..0.1315,,capacity pressure (count is high-entropy),ecb4765b6653847930258662646459958f4b411954cbd0717a24333b7e86dfba,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0520fde7,training,include,symmetry,color_role;counting;local_completion;objectness;spatial_transform,grids 3x3..3x7; 4 colors; up to 9 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.1111..0.619,,gauge-breaking ambiguity (symmetry as gauge),961aaad2691b3f69974705d573b060270ddd3cc776845b78dccb00eb06c41aa3,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
05269061,training,include,counting,color_role;local_completion;objectness,grids 7x7..7x7; 6 colors; up to 49 components; density 0.1224..1,,capacity pressure (count is high-entropy),fe5f4ce6e172c146ad864fde09ba24defcbbc65467f5e11db38e331e386775b3,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
05a7bcf2,training,include,counting,color_role;local_completion;objectness,grids 30x30..30x30; 5 colors; up to 19 components; density 0.1044..0.4889,,capacity pressure (count is high-entropy),c975f2f1ed416f177b331d264af0fe8dc54708e4d0b983f7eadadfe34ec72894,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
05f2a901,training,include,local_completion,color_role;objectness,grids 9x9..14x10; 3 colors; up to 2 components; density 0.0794..0.1444,,non-local information (global context required to fill),57229a27235d2a09bd61c761f2197898bfaf36f3dc7c3340bc6dedb12e1bef59,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0692e18c,training,include,symmetry,color_role;counting;local_completion;objectness;spatial_transform,grids 3x3..9x9; 5 colors; up to 12 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.2222..0.5556,,gauge-breaking ambiguity (symmetry as gauge),347a17fae007961cdd01967025dae64d13868135c6863552938e5a7db125d13b,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
08ed6ac7,training,include,color_role,counting;local_completion;objectness,grids 9x9..9x9; 6 colors; up to 4 components; density 0.2346..0.321,,gauge-breaking ambiguity (color permutation as gauge),88e7a56be0351a5d9578623a046c1ae866ba2d17b93abd473b0cacebf5e3acc6,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0a1d4ef5,training,include,spatial_transform,color_role;counting;objectness,grids 2x3..30x30; 10 colors; up to 209 components; 3 train shape-change(s); density 0.53..1,,capacity pressure (shape change carries structural info),9ef4940f63189f8dcecafa7c07ed098dd44a21ab4c3684e4d9b90a2ca521f8ae,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0a2355a6,training,include,color_role,counting;local_completion;objectness,grids 9x11..15x17; 6 colors; up to 4 components; density 0.2806..0.3701,,gauge-breaking ambiguity (color permutation as gauge),8900bbb5b4750e18f2b1b2efc4890a96ab6ff27edd2e030061a36361d89a4a57,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0a938d79,training,include,symmetry,color_role;counting;local_completion;objectness,grids 7x8..24x27; 6 colors; up to 10 components; symmetries: reflect_h;reflect_v; density 0.0067..0.4091,,gauge-breaking ambiguity (symmetry as gauge),f2197a6a414930c5f263ada5884bfa604ffa4dd7851ca874f2c198f5b7063f28,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0b148d64,training,include,spatial_transform,color_role;counting;objectness,grids 6x6..21x21; 6 colors; up to 18 components; 3 train shape-change(s); density 0.3713..0.7778,,capacity pressure (shape change carries structural info),ca8d4441cff6a68afa36cc2d6aaee538e18e90433d65f0b3a97fe1ed6eb110eb,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0b17323b,training,include,local_completion,color_role;counting;objectness,grids 15x15..15x15; 3 colors; up to 7 components; density 0.0133..0.0311,,non-local information (global context required to fill),2c69f3a212849c2b7cc05af45aa05d65d902dd5547f17e9747890e9b8b6afe5a,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0bb8deee,training,include,spatial_transform,color_role;counting;local_completion;objectness,grids 6x6..16x13; 8 colors; up to 12 components; 3 train shape-change(s); density 0.2359..0.5833,,capacity pressure (shape change carries structural info),1899ec5ff9ca86d5ade001000f083b323e4d7478f8a1b156419f496d3b287863,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0c9aba6e,training,include,spatial_transform,color_role;counting;local_completion;objectness,grids 6x4..13x4; 5 colors; up to 12 components; 4 train shape-change(s); density 0.25..0.5577,,capacity pressure (shape change carries structural info),10c7635a134af6d3bb4242731455cbf94257407f57d22fb2b83e30c8b8ccd20d,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
0e671a1a,training,include,local_completion,color_role;counting;objectness,grids 13x13..13x13; 5 colors; up to 5 components; density 0.0178..0.1598,,non-local information (global context required to fill),534e1e7aa62f7c79bbae6cdbc195ab7f570fe96f8bca1a6d965cb84dc66dc436,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
11dc524f,training,include,objectness,color_role;counting,grids 13x13..13x13; 3 colors; up to 5 components; density 1..1,,full-state-only dependency (residual category),d3af66b42ae728ba60aa3834d0282271b86053e4ee0a387f76b0ecdbc3a891e4,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
11e1fe23,training,include,local_completion,color_role;counting;objectness,grids 10x11..12x14; 8 colors; up to 7 components; density 0.0179..0.0583,,non-local information (global context required to fill),6d0ed890875bd4c5e2f595911059fb421fc83bb1baf0fa6335a4a24dfa8fc4ba,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
13713586,training,include,local_completion,color_role;counting;objectness,grids 16x15..19x18; 8 colors; up to 5 components; density 0.0956..0.5965,,non-local information (global context required to fill),a51a243ddc78df54b86f857ca0ae6ae69931633da49108fea692fc6de5de7aa5,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
137eaa0f,training,include,spatial_transform,color_role;counting;local_completion;objectness,grids 3x3..11x11; 10 colors; up to 10 components; 3 train shape-change(s); density 0.0744..1,,capacity pressure (shape change carries structural info),f99adaf6943b2ee01a36c2bd255d6cfcd038b1f2d5df1703c25f7014283dfc2d,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
150deff5,training,include,objectness,color_role;counting;local_completion,grids 8x9..9x11; 4 colors; up to 6 components; density 0.1944..0.2727,,full-state-only dependency (residual category),cd5415f8f1e8c994729bda6b0f5559226d35a60bbb196332058866e6b38e380e,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
1acc24af,training,include,objectness,color_role;counting;local_completion,grids 12x12..12x12; 4 colors; up to 5 components; density 0.1597..0.2708,,full-state-only dependency (residual category),dfc691f758e2680bfa84ba600583b498a0b21f97576fdabd72aba6f31f874359,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
1b60fb0c,training,include,objectness,color_role;local_completion,grids 10x10..10x10; 3 colors; up to 2 components; density 0.22..0.49,,full-state-only dependency (residual category),618e78d53d3ad6faba347f67233d4f2a5af0df9aaa5f1b3ed367cf897b8ddd24,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
2601afb7,training,include,color_role,counting;objectness,grids 7x7..11x11; 9 colors; up to 6 components; density 0.9174..1,,gauge-breaking ambiguity (color permutation as gauge),9b37a3f34fedd2c9cd66277d87d23cfe5fa31b1cb70b6c610f106d762f9048b7,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
292dd178,training,include,color_role,counting;objectness,grids 7x9..11x15; 6 colors; up to 7 components; density 1..1,,gauge-breaking ambiguity (color permutation as gauge),acfd301643fa10432a5002f88b08e52195d58361c41ced96557ddd23ed81e392,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
2bee17df,training,include,objectness,color_role;counting,grids 10x10..14x14; 4 colors; up to 3 components; density 0.4031..0.875,,full-state-only dependency (residual category),9419481b5c299c9f63b5bb2c918f977ab3714c55b25c7398fd29b3de7ca88e95,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
37d3e8b2,training,include,color_role,counting;local_completion;objectness,grids 17x16..19x18; 6 colors; up to 6 components; density 0.2941..0.4444,,gauge-breaking ambiguity (color permutation as gauge),d80bbe8a2767b96b97896a80609e96620de9be421d1c5a93d4469e1ba3013904,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
3906de3d,training,include,objectness,color_role;counting;local_completion,grids 10x10..10x10; 3 colors; up to 5 components; density 0.21..0.43,,full-state-only dependency (residual category),af4c4a3b51d0aee0fa7e971b7bfeda266f3ce6b5f1b4d58ec4b3726358dea00a,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
3ad05f52,training,include,color_role,counting;local_completion;objectness,grids 22x24..29x28; 6 colors; up to 6 components; density 0.2203..0.5934,,gauge-breaking ambiguity (color permutation as gauge),a058292cea3e5cdccbf8a7cbdb34203fe3a801f043ed2796c703fce83cfdedc2,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.
