beta,config_idx,iteration,max_det_drift,max_unitarity_residual
2.0,0,1,5.551115123126e-16,7.850462293419e-16
2.0,0,2,5.551115123126e-16,7.850462293419e-16
2.0,0,3,5.551115123126e-16,7.850462293419e-16
2.0,0,4,4.440892098501e-16,6.280369834735e-16
2.0,0,5,5.551115123126e-16,7.850462293419e-16
2.0,0,6,5.551115123126e-16,7.850462293419e-16
2.0,0,7,5.551115123126e-16,7.850462293419e-16
2.0,0,8,4.440892098501e-16,6.280369834735e-16
2.0,0,9,5.551115123126e-16,7.850462293419e-16
2.0,0,10,5.551115123126e-16,7.850462293419e-16
2.0,1,1,6.661338147751e-16,9.420554752103e-16
2.0,1,2,6.661338147751e-16,9.420554752103e-16
2.0,1,3,4.440892098501e-16,6.280369834735e-16
2.0,1,4,6.661338147751e-16,9.420554752103e-16
2.0,1,5,5.551115123126e-16,7.850462293419e-16
2.0,1,6,5.551115123126e-16,7.850462293419e-16
2.0,1,7,5.551115123126e-16,7.850462293419e-16
2.0,1,8,5.551115123126e-16,7.850462293419e-16
2.0,1,9,5.551115123126e-16,7.850462293419e-16
2.0,1,10,4.440892098501e-16,6.280369834735e-16
2.0,2,1,6.661338147751e-16,9.420554752103e-16
2.0,2,2,5.551115123126e-16,7.850462293419e-16
2.0,2,3,5.551115123126e-16,7.850462293419e-16
2.0,2,4,5.551115123126e-16,7.850462293419e-16
2.0,2,5,5.551115123126e-16,7.850462293419e-16
2.0,2,6,4.440892098501e-16,6.280369834735e-16
2.0,2,7,4.440892098501e-16,6.280369834735e-16
2.0,2,8,5.551115123126e-16,7.850462293419e-16
2.0,2,9,4.440892098501e-16,6.280369834735e-16
2.0,2,10,4.440892098501e-16,6.280369834735e-16
2.0,3,1,5.551115123126e-16,7.850462293419e-16
2.0,3,2,6.661338147751e-16,9.420554752103e-16
2.0,3,3,4.440892098501e-16,6.280369834735e-16
2.0,3,4,4.440892098501e-16,6.280369834735e-16
2.0,3,5,5.551115123126e-16,7.850462293419e-16
2.0,3,6,5.551115123126e-16,7.850462293419e-16
2.0,3,7,5.551115123126e-16,7.850462293419e-16
2.0,3,8,5.551115123126e-16,7.850462293419e-16
2.0,3,9,5.551115123126e-16,7.850462293419e-16
2.0,3,10,5.551115123126e-16,7.850462293419e-16
2.0,4,1,5.551115123126e-16,7.850462293419e-16
2.0,4,2,4.440892098501e-16,6.280369834735e-16
2.0,4,3,6.661338147751e-16,9.420554752103e-16
2.0,4,4,5.551115123126e-16,7.850462293419e-16
2.0,4,5,5.551115123126e-16,7.850462293419e-16
2.0,4,6,4.440892098501e-16,6.280369834735e-16
2.0,4,7,5.551115123126e-16,7.850462293419e-16
2.0,4,8,5.551115123126e-16,7.850462293419e-16
2.0,4,9,4.440892098501e-16,6.280369834735e-16
2.0,4,10,4.440892098501e-16,6.280369834735e-16
2.0,5,1,6.661338147751e-16,9.420554752103e-16
2.0,5,2,5.551115123126e-16,7.850462293419e-16
2.0,5,3,5.551115123126e-16,7.850462293419e-16
2.0,5,4,4.440892098501e-16,6.280369834735e-16
2.0,5,5,5.551115123126e-16,7.850462293419e-16
2.0,5,6,5.551115123126e-16,7.850462293419e-16
2.0,5,7,5.551115123126e-16,7.850462293419e-16
2.0,5,8,4.440892098501e-16,6.280369834735e-16
2.0,5,9,4.440892098501e-16,6.280369834735e-16
2.0,5,10,5.551115123126e-16,7.850462293419e-16
2.0,6,1,5.551115123126e-16,7.850462293419e-16
2.0,6,2,5.551115123126e-16,7.850462293419e-16
2.0,6,3,4.440892098501e-16,6.280369834735e-16
2.0,6,4,5.551115123126e-16,7.850462293419e-16
2.0,6,5,5.551115123126e-16,7.850462293419e-16
2.0,6,6,5.551115123126e-16,7.850462293419e-16
2.0,6,7,5.551115123126e-16,7.850462293419e-16
2.0,6,8,5.551115123126e-16,7.850462293419e-16
2.0,6,9,5.551115123126e-16,7.850462293419e-16
2.0,6,10,5.551115123126e-16,7.850462293419e-16
2.0,7,1,5.551115123126e-16,7.850462293419e-16
2.0,7,2,5.551115123126e-16,7.850462293419e-16
2.0,7,3,4.440892098501e-16,6.280369834735e-16
2.0,7,4,5.551115123126e-16,7.850462293419e-16
2.0,7,5,5.551115123126e-16,7.850462293419e-16
2.0,7,6,5.551115123126e-16,7.850462293419e-16
2.0,7,7,4.440892098501e-16,6.280369834735e-16
2.0,7,8,5.551115123126e-16,7.850462293419e-16
2.0,7,9,5.551115123126e-16,7.850462293419e-16
2.0,7,10,5.551115123126e-16,7.850462293419e-16
2.0,8,1,5.551115123126e-16,7.850462293419e-16
2.0,8,2,5.551115123126e-16,7.850462293419e-16
2.0,8,3,5.551115123126e-16,7.850462293419e-16
2.0,8,4,4.440892098501e-16,6.280369834735e-16
2.0,8,5,5.551115123126e-16,7.850462293419e-16
2.0,8,6,4.440892098501e-16,6.280369834735e-16
2.0,8,7,4.440892098501e-16,6.280369834735e-16
2.0,8,8,4.440892098501e-16,6.280369834735e-16
2.0,8,9,5.551115123126e-16,7.850462293419e-16
2.0,8,10,5.551115123126e-16,7.850462293419e-16
2.0,9,1,6.661338147751e-16,9.420554752103e-16
2.0,9,2,5.551115123126e-16,7.850462293419e-16
2.0,9,3,5.551115123126e-16,7.850462293419e-16
2.0,9,4,5.551115123126e-16,7.850462293419e-16
2.0,9,5,5.551115123126e-16,7.850462293419e-16
2.0,9,6,5.551115123126e-16,7.850462293419e-16
2.0,9,7,5.551115123126e-16,7.850462293419e-16
2.0,9,8,4.440892098501e-16,6.280369834735e-16
2.0,9,9,6.661338147751e-16,9.420554752103e-16
2.0,9,10,6.661338147751e-16,9.420554752103e-16
2.0,10,1,5.551115123126e-16,7.850462293419e-16
2.0,10,2,4.440892098501e-16,6.280369834735e-16
2.0,10,3,4.440892098501e-16,6.280369834735e-16
2.0,10,4,5.551115123126e-16,7.850462293419e-16
2.0,10,5,5.551115123126e-16,7.850462293419e-16
2.0,10,6,5.551115123126e-16,7.850462293419e-16
2.0,10,7,5.551115123126e-16,7.850462293419e-16
2.0,10,8,5.551115123126e-16,7.850462293419e-16
2.0,10,9,5.551115123126e-16,7.850462293419e-16
2.0,10,10,5.551115123126e-16,7.850462293419e-16
2.0,11,1,5.551115123126e-16,7.850462293419e-16
2.0,11,2,6.661338147751e-16,9.420554752103e-16
2.0,11,3,4.440892098501e-16,6.280369834735e-16
2.0,11,4,5.551115123126e-16,7.850462293419e-16
2.0,11,5,4.440892098501e-16,6.280369834735e-16
2.0,11,6,4.440892098501e-16,6.280369834735e-16
2.0,11,7,5.551115123126e-16,7.850462293419e-16
2.0,11,8,5.551115123126e-16,7.850462293419e-16
2.0,11,9,5.551115123126e-16,7.850462293419e-16
2.0,11,10,4.440892098501e-16,6.280369834735e-16
2.0,12,1,5.551115123126e-16,7.850462293419e-16
2.0,12,2,5.551115123126e-16,7.850462293419e-16
2.0,12,3,5.551115123126e-16,7.850462293419e-16
2.0,12,4,5.551115123126e-16,7.850462293419e-16
2.0,12,5,5.551115123126e-16,7.850462293419e-16
2.0,12,6,5.551115123126e-16,7.850462293419e-16
2.0,12,7,4.440892098501e-16,6.280369834735e-16
2.0,12,8,5.551115123126e-16,7.850462293419e-16
2.0,12,9,5.551115123126e-16,7.850462293419e-16
2.0,12,10,5.551115123126e-16,7.850462293419e-16
2.0,13,1,5.551115123126e-16,7.850462293419e-16
2.0,13,2,5.551115123126e-16,7.850462293419e-16
2.0,13,3,6.661338147751e-16,9.420554752103e-16
2.0,13,4,5.551115123126e-16,7.850462293419e-16
2.0,13,5,5.551115123126e-16,7.850462293419e-16
2.0,13,6,5.551115123126e-16,7.850462293419e-16
2.0,13,7,5.551115123126e-16,7.850462293419e-16
2.0,13,8,5.551115123126e-16,7.850462293419e-16
2.0,13,9,5.551115123126e-16,7.850462293419e-16
2.0,13,10,5.551115123126e-16,7.850462293419e-16
2.0,14,1,5.551115123126e-16,7.850462293419e-16
2.0,14,2,5.551115123126e-16,7.850462293419e-16
2.0,14,3,4.440892098501e-16,6.280369834735e-16
2.0,14,4,6.661338147751e-16,9.420554752103e-16
2.0,14,5,5.551115123126e-16,7.850462293419e-16
2.0,14,6,5.551115123126e-16,7.850462293419e-16
2.0,14,7,5.551115123126e-16,7.850462293419e-16
2.0,14,8,5.551115123126e-16,7.850462293419e-16
2.0,14,9,5.551115123126e-16,7.850462293419e-16
2.0,14,10,4.440892098501e-16,6.280369834735e-16
2.0,15,1,6.661338147751e-16,9.420554752103e-16
2.0,15,2,5.551115123126e-16,7.850462293419e-16
2.0,15,3,5.551115123126e-16,7.850462293419e-16
2.0,15,4,5.551115123126e-16,7.850462293419e-16
2.0,15,5,5.551115123126e-16,7.850462293419e-16
2.0,15,6,5.551115123126e-16,7.850462293419e-16
2.0,15,7,6.661338147751e-16,9.420554752103e-16
2.0,15,8,6.661338147751e-16,9.420554752103e-16
2.0,15,9,5.551115123126e-16,7.850462293419e-16
2.0,15,10,5.551115123126e-16,7.850462293419e-16
2.0,16,1,5.551115123126e-16,7.850462293419e-16
2.0,16,2,5.551115123126e-16,7.850462293419e-16
2.0,16,3,4.440892098501e-16,6.280369834735e-16
2.0,16,4,5.551115123126e-16,7.850462293419e-16
2.0,16,5,5.551115123126e-16,7.850462293419e-16
2.0,16,6,4.440892098501e-16,6.280369834735e-16
2.0,16,7,5.551115123126e-16,7.850462293419e-16
2.0,16,8,4.440892098501e-16,6.280369834735e-16
2.0,16,9,5.551115123126e-16,7.850462293419e-16
2.0,16,10,5.551115123126e-16,7.850462293419e-16
2.0,17,1,5.551115123126e-16,7.850462293419e-16
2.0,17,2,5.551115123126e-16,7.850462293419e-16
2.0,17,3,5.551115123126e-16,7.850462293419e-16
2.0,17,4,5.551115123126e-16,7.850462293419e-16
2.0,17,5,5.551115123126e-16,7.850462293419e-16
2.0,17,6,6.661338147751e-16,9.420554752103e-16
2.0,17,7,5.551115123126e-16,7.850462293419e-16
2.0,17,8,4.440892098501e-16,6.280369834735e-16
2.0,17,9,6.661338147751e-16,9.420554752103e-16
2.0,17,10,5.551115123126e-16,7.850462293419e-16
2.0,18,1,5.551115123126e-16,7.850462293419e-16
2.0,18,2,6.661338147751e-16,9.420554752103e-16
2.0,18,3,5.551115123126e-16,7.850462293419e-16
2.0,18,4,6.661338147751e-16,9.420554752103e-16
2.0,18,5,5.551115123126e-16,7.850462293419e-16
2.0,18,6,4.440892098501e-16,6.280369834735e-16
2.0,18,7,6.661338147751e-16,9.420554752103e-16
2.0,18,8,5.551115123126e-16,7.850462293419e-16
2.0,18,9,6.661338147751e-16,9.420554752103e-16
2.0,18,10,5.551115123126e-16,7.850462293419e-16
2.0,19,1,5.551115123126e-16,7.850462293419e-16
2.0,19,2,5.551115123126e-16,7.850462293419e-16
2.0,19,3,5.551115123126e-16,7.850462293419e-16
2.0,19,4,5.551115123126e-16,7.850462293419e-16
2.0,19,5,4.440892098501e-16,6.280369834735e-16
2.0,19,6,5.551115123126e-16,7.850462293419e-16
2.0,19,7,5.551115123126e-16,7.850462293419e-16
2.0,19,8,5.551115123126e-16,7.850462293419e-16
2.0,19,9,6.661338147751e-16,9.420554752103e-16
2.0,19,10,4.440892098501e-16,6.280369834735e-16
2.0,20,1,5.551115123126e-16,7.850462293419e-16
2.0,20,2,5.551115123126e-16,7.850462293419e-16
2.0,20,3,5.551115123126e-16,7.850462293419e-16
2.0,20,4,5.551115123126e-16,7.850462293419e-16
2.0,20,5,5.551115123126e-16,7.850462293419e-16
2.0,20,6,5.551115123126e-16,7.850462293419e-16
2.0,20,7,5.551115123126e-16,7.850462293419e-16
2.0,20,8,6.661338147751e-16,9.420554752103e-16
2.0,20,9,5.551115123126e-16,7.850462293419e-16
2.0,20,10,4.440892098501e-16,6.280369834735e-16
2.0,21,1,5.551115123126e-16,7.850462293419e-16
2.0,21,2,5.551115123126e-16,7.850462293419e-16
2.0,21,3,6.661338147751e-16,9.420554752103e-16
2.0,21,4,5.551115123126e-16,7.850462293419e-16
2.0,21,5,5.551115123126e-16,7.850462293419e-16
2.0,21,6,5.551115123126e-16,7.850462293419e-16
2.0,21,7,5.551115123126e-16,7.850462293419e-16
2.0,21,8,4.440892098501e-16,6.280369834735e-16
2.0,21,9,5.551115123126e-16,7.850462293419e-16
2.0,21,10,5.551115123126e-16,7.850462293419e-16
2.0,22,1,6.661338147751e-16,9.420554752103e-16
2.0,22,2,5.551115123126e-16,7.850462293419e-16
2.0,22,3,5.551115123126e-16,7.850462293419e-16
2.0,22,4,5.551115123126e-16,7.850462293419e-16
2.0,22,5,5.551115123126e-16,7.850462293419e-16
2.0,22,6,5.551115123126e-16,7.850462293419e-16
2.0,22,7,4.440892098501e-16,6.280369834735e-16
2.0,22,8,5.551115123126e-16,7.850462293419e-16
2.0,22,9,5.551115123126e-16,7.850462293419e-16
2.0,22,10,5.551115123126e-16,7.850462293419e-16
2.0,23,1,5.551115123126e-16,7.850462293419e-16
2.0,23,2,4.440892098501e-16,6.280369834735e-16
2.0,23,3,5.551115123126e-16,7.850462293419e-16
2.0,23,4,6.661338147751e-16,9.420554752103e-16
2.0,23,5,5.551115123126e-16,7.850462293419e-16
2.0,23,6,5.551115123126e-16,7.850462293419e-16
2.0,23,7,5.551115123126e-16,7.850462293419e-16
2.0,23,8,5.551115123126e-16,7.850462293419e-16
2.0,23,9,5.551115123126e-16,7.850462293419e-16
2.0,23,10,6.661338147751e-16,9.420554752103e-16
2.0,24,1,5.551115123126e-16,7.850462293419e-16
2.0,24,2,5.551115123126e-16,7.850462293419e-16
2.0,24,3,5.551115123126e-16,7.850462293419e-16
2.0,24,4,5.551115123126e-16,7.850462293419e-16
2.0,24,5,5.551115123126e-16,7.850462293419e-16
2.0,24,6,4.440892098501e-16,6.280369834735e-16
2.0,24,7,5.551115123126e-16,7.850462293419e-16
2.0,24,8,5.551115123126e-16,7.850462293419e-16
2.0,24,9,4.440892098501e-16,6.280369834735e-16
2.0,24,10,5.551115123126e-16,7.850462293419e-16
2.0,25,1,5.551115123126e-16,7.850462293419e-16
2.0,25,2,5.551115123126e-16,7.850462293419e-16
2.0,25,3,5.551115123126e-16,7.850462293419e-16
2.0,25,4,5.551115123126e-16,7.850462293419e-16
2.0,25,5,4.440892098501e-16,6.280369834735e-16
2.0,25,6,5.551115123126e-16,7.850462293419e-16
2.0,25,7,5.551115123126e-16,7.850462293419e-16
2.0,25,8,5.551115123126e-16,7.850462293419e-16
2.0,25,9,5.551115123126e-16,7.850462293419e-16
2.0,25,10,4.440892098501e-16,6.280369834735e-16
2.0,26,1,5.551115123126e-16,7.850462293419e-16
2.0,26,2,5.551115123126e-16,7.850462293419e-16
2.0,26,3,4.440892098501e-16,6.280369834735e-16
2.0,26,4,5.551115123126e-16,7.850462293419e-16
2.0,26,5,5.551115123126e-16,7.850462293419e-16
2.0,26,6,5.551115123126e-16,7.850462293419e-16
2.0,26,7,5.551115123126e-16,7.850462293419e-16
2.0,26,8,4.440892098501e-16,6.280369834735e-16
2.0,26,9,5.551115123126e-16,7.850462293419e-16
2.0,26,10,5.551115123126e-16,7.850462293419e-16
2.0,27,1,5.551115123126e-16,7.850462293419e-16
2.0,27,2,5.551115123126e-16,7.850462293419e-16
2.0,27,3,4.440892098501e-16,6.280369834735e-16
2.0,27,4,4.440892098501e-16,6.280369834735e-16
2.0,27,5,6.661338147751e-16,9.420554752103e-16
2.0,27,6,5.551115123126e-16,7.850462293419e-16
2.0,27,7,4.440892098501e-16,6.280369834735e-16
2.0,27,8,4.440892098501e-16,6.280369834735e-16
2.0,27,9,4.440892098501e-16,6.280369834735e-16
2.0,27,10,4.440892098501e-16,6.280369834735e-16
2.0,28,1,6.661338147751e-16,9.420554752103e-16
2.0,28,2,5.551115123126e-16,7.850462293419e-16
2.0,28,3,5.551115123126e-16,7.850462293419e-16
2.0,28,4,5.551115123126e-16,7.850462293419e-16
2.0,28,5,5.551115123126e-16,7.850462293419e-16
2.0,28,6,5.551115123126e-16,7.850462293419e-16
2.0,28,7,5.551115123126e-16,7.850462293419e-16
2.0,28,8,5.551115123126e-16,7.850462293419e-16
2.0,28,9,5.551115123126e-16,7.850462293419e-16
2.0,28,10,5.551115123126e-16,7.850462293419e-16
2.0,29,1,4.440892098501e-16,6.280369834735e-16
2.0,29,2,5.551115123126e-16,7.850462293419e-16
2.0,29,3,5.551115123126e-16,7.850462293419e-16
2.0,29,4,6.661338147751e-16,9.420554752103e-16
2.0,29,5,5.551115123126e-16,7.850462293419e-16
2.0,29,6,4.440892098501e-16,6.280369834735e-16
2.0,29,7,5.551115123126e-16,7.850462293419e-16
2.0,29,8,5.551115123126e-16,7.850462293419e-16
2.0,29,9,4.440892098501e-16,6.280369834735e-16
2.0,29,10,4.440892098501e-16,6.280369834735e-16
2.0,30,1,5.551115123126e-16,7.850462293419e-16
2.0,30,2,5.551115123126e-16,7.850462293419e-16
2.0,30,3,5.551115123126e-16,7.850462293419e-16
2.0,30,4,5.551115123126e-16,7.850462293419e-16
2.0,30,5,6.661338147751e-16,9.420554752103e-16
2.0,30,6,4.440892098501e-16,6.280369834735e-16
2.0,30,7,5.551115123126e-16,7.850462293419e-16
2.0,30,8,5.551115123126e-16,7.850462293419e-16
2.0,30,9,5.551115123126e-16,7.850462293419e-16
2.0,30,10,4.440892098501e-16,6.280369834735e-16
2.0,31,1,5.551115123126e-16,7.850462293419e-16
2.0,31,2,6.661338147751e-16,9.420554752103e-16
2.0,31,3,5.551115123126e-16,7.850462293419e-16
2.0,31,4,4.440892098501e-16,6.280369834735e-16
2.0,31,5,4.440892098501e-16,6.280369834735e-16
2.0,31,6,6.661338147751e-16,9.420554752103e-16
2.0,31,7,6.661338147751e-16,9.420554752103e-16
2.0,31,8,6.661338147751e-16,9.420554752103e-16
2.0,31,9,6.661338147751e-16,9.420554752103e-16
