beta,config_idx,iteration,max_det_drift,max_unitarity_residual
2.0,31,10,5.551115123126e-16,7.850462293419e-16
2.4,0,1,5.551115123126e-16,7.850462293419e-16
2.4,0,2,5.551115123126e-16,7.850462293419e-16
2.4,0,3,5.551115123126e-16,7.850462293419e-16
2.4,0,4,4.440892098501e-16,6.280369834735e-16
2.4,0,5,4.440892098501e-16,6.280369834735e-16
2.4,0,6,5.551115123126e-16,7.850462293419e-16
2.4,0,7,6.661338147751e-16,9.420554752103e-16
2.4,0,8,5.551115123126e-16,7.850462293419e-16
2.4,0,9,6.661338147751e-16,9.420554752103e-16
2.4,0,10,5.551115123126e-16,7.850462293419e-16
2.4,1,1,4.440892098501e-16,6.280369834735e-16
2.4,1,2,4.440892098501e-16,6.280369834735e-16
2.4,1,3,5.551115123126e-16,7.850462293419e-16
2.4,1,4,5.551115123126e-16,7.850462293419e-16
2.4,1,5,5.551115123126e-16,7.850462293419e-16
2.4,1,6,5.551115123126e-16,7.850462293419e-16
2.4,1,7,5.551115123126e-16,7.850462293419e-16
2.4,1,8,4.440892098501e-16,6.280369834735e-16
2.4,1,9,5.551115123126e-16,7.850462293419e-16
2.4,1,10,4.440892098501e-16,6.280369834735e-16
2.4,2,1,5.551115123126e-16,7.850462293419e-16
2.4,2,2,5.551115123126e-16,7.850462293419e-16
2.4,2,3,5.551115123126e-16,7.850462293419e-16
2.4,2,4,5.551115123126e-16,7.850462293419e-16
2.4,2,5,5.551115123126e-16,7.850462293419e-16
2.4,2,6,5.551115123126e-16,7.850462293419e-16
2.4,2,7,5.551115123126e-16,7.850462293419e-16
2.4,2,8,5.551115123126e-16,7.850462293419e-16
2.4,2,9,4.440892098501e-16,6.280369834735e-16
2.4,2,10,5.551115123126e-16,7.850462293419e-16
2.4,3,1,5.551115123126e-16,7.850462293419e-16
2.4,3,2,5.551115123126e-16,7.850462293419e-16
2.4,3,3,5.551115123126e-16,7.850462293419e-16
2.4,3,4,5.551115123126e-16,7.850462293419e-16
2.4,3,5,4.440892098501e-16,6.280369834735e-16
2.4,3,6,5.551115123126e-16,7.850462293419e-16
2.4,3,7,5.551115123126e-16,7.850462293419e-16
2.4,3,8,4.440892098501e-16,6.280369834735e-16
2.4,3,9,4.440892098501e-16,6.280369834735e-16
2.4,3,10,5.551115123126e-16,7.850462293419e-16
2.4,4,1,5.551115123126e-16,7.850462293419e-16
2.4,4,2,5.551115123126e-16,7.850462293419e-16
2.4,4,3,5.551115123126e-16,7.850462293419e-16
2.4,4,4,5.551115123126e-16,7.850462293419e-16
2.4,4,5,5.551115123126e-16,7.850462293419e-16
2.4,4,6,5.551115123126e-16,7.850462293419e-16
2.4,4,7,5.551115123126e-16,7.850462293419e-16
2.4,4,8,5.551115123126e-16,7.850462293419e-16
2.4,4,9,6.661338147751e-16,9.420554752103e-16
2.4,4,10,4.440892098501e-16,6.280369834735e-16
2.4,5,1,5.551115123126e-16,7.850462293419e-16
2.4,5,2,5.551115123126e-16,7.850462293419e-16
2.4,5,3,5.551115123126e-16,7.850462293419e-16
2.4,5,4,6.661338147751e-16,9.420554752103e-16
2.4,5,5,5.551115123126e-16,7.850462293419e-16
2.4,5,6,4.440892098501e-16,6.280369834735e-16
2.4,5,7,5.551115123126e-16,7.850462293419e-16
2.4,5,8,5.551115123126e-16,7.850462293419e-16
2.4,5,9,4.440892098501e-16,6.280369834735e-16
2.4,5,10,5.551115123126e-16,7.850462293419e-16
2.4,6,1,4.440892098501e-16,6.280369834735e-16
2.4,6,2,5.551115123126e-16,7.850462293419e-16
2.4,6,3,5.551115123126e-16,7.850462293419e-16
2.4,6,4,4.440892098501e-16,6.280369834735e-16
2.4,6,5,6.661338147751e-16,9.420554752103e-16
2.4,6,6,4.440892098501e-16,6.280369834735e-16
2.4,6,7,5.551115123126e-16,7.850462293419e-16
2.4,6,8,5.551115123126e-16,7.850462293419e-16
2.4,6,9,5.551115123126e-16,7.850462293419e-16
2.4,6,10,5.551115123126e-16,7.850462293419e-16
2.4,7,1,5.551115123126e-16,7.850462293419e-16
2.4,7,2,5.551115123126e-16,7.850462293419e-16
2.4,7,3,5.551115123126e-16,7.850462293419e-16
2.4,7,4,5.551115123126e-16,7.850462293419e-16
2.4,7,5,4.440892098501e-16,6.280369834735e-16
2.4,7,6,5.551115123126e-16,7.850462293419e-16
2.4,7,7,5.551115123126e-16,7.850462293419e-16
2.4,7,8,5.551115123126e-16,7.850462293419e-16
2.4,7,9,5.551115123126e-16,7.850462293419e-16
2.4,7,10,5.551115123126e-16,7.850462293419e-16
2.4,8,1,5.551115123126e-16,7.850462293419e-16
2.4,8,2,5.551115123126e-16,7.850462293419e-16
2.4,8,3,5.551115123126e-16,7.850462293419e-16
2.4,8,4,4.440892098501e-16,6.280369834735e-16
2.4,8,5,5.551115123126e-16,7.850462293419e-16
2.4,8,6,5.551115123126e-16,7.850462293419e-16
2.4,8,7,5.551115123126e-16,7.850462293419e-16
2.4,8,8,5.551115123126e-16,7.850462293419e-16
2.4,8,9,5.551115123126e-16,7.850462293419e-16
2.4,8,10,5.551115123126e-16,7.850462293419e-16
2.4,9,1,5.551115123126e-16,7.850462293419e-16
2.4,9,2,5.551115123126e-16,7.850462293419e-16
2.4,9,3,5.551115123126e-16,7.850462293419e-16
2.4,9,4,5.551115123126e-16,7.850462293419e-16
2.4,9,5,5.551115123126e-16,7.850462293419e-16
2.4,9,6,5.551115123126e-16,7.850462293419e-16
2.4,9,7,5.551115123126e-16,7.850462293419e-16
2.4,9,8,5.551115123126e-16,7.850462293419e-16
2.4,9,9,5.551115123126e-16,7.850462293419e-16
2.4,9,10,5.551115123126e-16,7.850462293419e-16
2.4,10,1,6.661338147751e-16,9.420554752103e-16
2.4,10,2,6.661338147751e-16,9.420554752103e-16
2.4,10,3,5.551115123126e-16,7.850462293419e-16
2.4,10,4,4.440892098501e-16,6.280369834735e-16
2.4,10,5,4.440892098501e-16,6.280369834735e-16
2.4,10,6,4.440892098501e-16,6.280369834735e-16
2.4,10,7,5.551115123126e-16,7.850462293419e-16
2.4,10,8,4.440892098501e-16,6.280369834735e-16
2.4,10,9,4.440892098501e-16,6.280369834735e-16
2.4,10,10,5.551115123126e-16,7.850462293419e-16
2.4,11,1,5.551115123126e-16,7.850462293419e-16
2.4,11,2,5.551115123126e-16,7.850462293419e-16
2.4,11,3,5.551115123126e-16,7.850462293419e-16
2.4,11,4,5.551115123126e-16,7.850462293419e-16
2.4,11,5,5.551115123126e-16,7.850462293419e-16
2.4,11,6,4.440892098501e-16,6.280369834735e-16
2.4,11,7,5.551115123126e-16,7.850462293419e-16
2.4,11,8,6.661338147751e-16,9.420554752103e-16
2.4,11,9,6.661338147751e-16,9.420554752103e-16
2.4,11,10,5.551115123126e-16,7.850462293419e-16
2.4,12,1,5.551115123126e-16,7.850462293419e-16
2.4,12,2,5.551115123126e-16,7.850462293419e-16
2.4,12,3,4.440892098501e-16,6.280369834735e-16
2.4,12,4,5.551115123126e-16,7.850462293419e-16
2.4,12,5,5.551115123126e-16,7.850462293419e-16
2.4,12,6,5.551115123126e-16,7.850462293419e-16
2.4,12,7,5.551115123126e-16,7.850462293419e-16
2.4,12,8,6.661338147751e-16,9.420554752103e-16
2.4,12,9,6.661338147751e-16,9.420554752103e-16
2.4,12,10,5.551115123126e-16,7.850462293419e-16
2.4,13,1,5.551115123126e-16,7.850462293419e-16
2.4,13,2,6.661338147751e-16,9.420554752103e-16
2.4,13,3,5.551115123126e-16,7.850462293419e-16
2.4,13,4,5.551115123126e-16,7.850462293419e-16
2.4,13,5,5.551115123126e-16,7.850462293419e-16
2.4,13,6,5.551115123126e-16,7.850462293419e-16
2.4,13,7,4.440892098501e-16,6.280369834735e-16
2.4,13,8,5.551115123126e-16,7.850462293419e-16
2.4,13,9,4.440892098501e-16,6.280369834735e-16
2.4,13,10,4.440892098501e-16,6.280369834735e-16
2.4,14,1,6.661338147751e-16,9.420554752103e-16
2.4,14,2,5.551115123126e-16,7.850462293419e-16
2.4,14,3,6.661338147751e-16,9.420554752103e-16
2.4,14,4,5.551115123126e-16,7.850462293419e-16
2.4,14,5,5.551115123126e-16,7.850462293419e-16
2.4,14,6,5.551115123126e-16,7.850462293419e-16
2.4,14,7,4.440892098501e-16,6.280369834735e-16
2.4,14,8,5.551115123126e-16,7.850462293419e-16
2.4,14,9,5.551115123126e-16,7.850462293419e-16
2.4,14,10,5.551115123126e-16,7.850462293419e-16
2.4,15,1,5.551115123126e-16,7.850462293419e-16
2.4,15,2,5.551115123126e-16,7.850462293419e-16
2.4,15,3,6.661338147751e-16,9.420554752103e-16
2.4,15,4,4.440892098501e-16,6.280369834735e-16
2.4,15,5,4.440892098501e-16,6.280369834735e-16
2.4,15,6,4.440892098501e-16,6.280369834735e-16
2.4,15,7,5.551115123126e-16,7.850462293419e-16
2.4,15,8,5.551115123126e-16,7.850462293419e-16
2.4,15,9,5.551115123126e-16,7.850462293419e-16
2.4,15,10,4.440892098501e-16,6.280369834735e-16
2.4,16,1,5.551115123126e-16,7.850462293419e-16
2.4,16,2,5.551115123126e-16,7.850462293419e-16
2.4,16,3,4.440892098501e-16,6.280369834735e-16
2.4,16,4,5.551115123126e-16,7.850462293419e-16
2.4,16,5,5.551115123126e-16,7.850462293419e-16
2.4,16,6,4.440892098501e-16,6.280369834735e-16
2.4,16,7,5.551115123126e-16,7.850462293419e-16
2.4,16,8,4.440892098501e-16,6.280369834735e-16
2.4,16,9,4.440892098501e-16,6.280369834735e-16
2.4,16,10,4.440892098501e-16,6.280369834735e-16
2.4,17,1,5.551115123126e-16,7.850462293419e-16
2.4,17,2,4.440892098501e-16,6.280369834735e-16
2.4,17,3,6.661338147751e-16,9.420554752103e-16
2.4,17,4,5.551115123126e-16,7.850462293419e-16
2.4,17,5,5.551115123126e-16,7.850462293419e-16
2.4,17,6,5.551115123126e-16,7.850462293419e-16
2.4,17,7,6.661338147751e-16,9.420554752103e-16
2.4,17,8,5.551115123126e-16,7.850462293419e-16
2.4,17,9,5.551115123126e-16,7.850462293419e-16
2.4,17,10,4.440892098501e-16,6.280369834735e-16
2.4,18,1,5.551115123126e-16,7.850462293419e-16
2.4,18,2,6.661338147751e-16,9.420554752103e-16
2.4,18,3,5.551115123126e-16,7.850462293419e-16
2.4,18,4,5.551115123126e-16,7.850462293419e-16
2.4,18,5,5.551115123126e-16,7.850462293419e-16
2.4,18,6,4.440892098501e-16,6.280369834735e-16
2.4,18,7,5.551115123126e-16,7.850462293419e-16
2.4,18,8,5.551115123126e-16,7.850462293419e-16
2.4,18,9,5.551115123126e-16,7.850462293419e-16
2.4,18,10,5.551115123126e-16,7.850462293419e-16
2.4,19,1,6.661338147751e-16,9.420554752103e-16
2.4,19,2,5.551115123126e-16,7.850462293419e-16
2.4,19,3,5.551115123126e-16,7.850462293419e-16
2.4,19,4,6.661338147751e-16,9.420554752103e-16
2.4,19,5,5.551115123126e-16,7.850462293419e-16
2.4,19,6,4.440892098501e-16,6.280369834735e-16
2.4,19,7,6.661338147751e-16,9.420554752103e-16
2.4,19,8,4.440892098501e-16,6.280369834735e-16
2.4,19,9,4.440892098501e-16,6.280369834735e-16
2.4,19,10,4.440892098501e-16,6.280369834735e-16
2.4,20,1,6.661338147751e-16,9.420554752103e-16
2.4,20,2,6.661338147751e-16,9.420554752103e-16
2.4,20,3,5.551115123126e-16,7.850462293419e-16
2.4,20,4,5.551115123126e-16,7.850462293419e-16
2.4,20,5,6.661338147751e-16,9.420554752103e-16
2.4,20,6,5.551115123126e-16,7.850462293419e-16
2.4,20,7,5.551115123126e-16,7.850462293419e-16
2.4,20,8,5.551115123126e-16,7.850462293419e-16
2.4,20,9,5.551115123126e-16,7.850462293419e-16
2.4,20,10,4.440892098501e-16,6.280369834735e-16
2.4,21,1,5.551115123126e-16,7.850462293419e-16
2.4,21,2,4.440892098501e-16,6.280369834735e-16
2.4,21,3,4.440892098501e-16,6.280369834735e-16
2.4,21,4,5.551115123126e-16,7.850462293419e-16
2.4,21,5,5.551115123126e-16,7.850462293419e-16
2.4,21,6,5.551115123126e-16,7.850462293419e-16
2.4,21,7,5.551115123126e-16,7.850462293419e-16
2.4,21,8,5.551115123126e-16,7.850462293419e-16
2.4,21,9,4.440892098501e-16,6.280369834735e-16
2.4,21,10,5.551115123126e-16,7.850462293419e-16
2.4,22,1,6.661338147751e-16,9.420554752103e-16
2.4,22,2,5.551115123126e-16,7.850462293419e-16
2.4,22,3,5.551115123126e-16,7.850462293419e-16
2.4,22,4,5.551115123126e-16,7.850462293419e-16
2.4,22,5,5.551115123126e-16,7.850462293419e-16
2.4,22,6,4.440892098501e-16,6.280369834735e-16
2.4,22,7,5.551115123126e-16,7.850462293419e-16
2.4,22,8,4.440892098501e-16,6.280369834735e-16
2.4,22,9,5.551115123126e-16,7.850462293419e-16
2.4,22,10,4.440892098501e-16,6.280369834735e-16
2.4,23,1,5.551115123126e-16,7.850462293419e-16
2.4,23,2,5.551115123126e-16,7.850462293419e-16
2.4,23,3,4.440892098501e-16,6.280369834735e-16
2.4,23,4,4.440892098501e-16,6.280369834735e-16
2.4,23,5,6.661338147751e-16,9.420554752103e-16
2.4,23,6,5.551115123126e-16,7.850462293419e-16
2.4,23,7,4.440892098501e-16,6.280369834735e-16
2.4,23,8,5.551115123126e-16,7.850462293419e-16
2.4,23,9,4.440892098501e-16,6.280369834735e-16
2.4,23,10,5.551115123126e-16,7.850462293419e-16
2.4,24,1,4.440892098501e-16,6.280369834735e-16
2.4,24,2,4.440892098501e-16,6.280369834735e-16
2.4,24,3,5.551115123126e-16,7.850462293419e-16
2.4,24,4,5.551115123126e-16,7.850462293419e-16
2.4,24,5,5.551115123126e-16,7.850462293419e-16
2.4,24,6,6.661338147751e-16,9.420554752103e-16
2.4,24,7,4.440892098501e-16,6.280369834735e-16
2.4,24,8,5.551115123126e-16,7.850462293419e-16
2.4,24,9,5.551115123126e-16,7.850462293419e-16
2.4,24,10,5.551115123126e-16,7.850462293419e-16
2.4,25,1,5.551115123126e-16,7.850462293419e-16
2.4,25,2,5.551115123126e-16,7.850462293419e-16
2.4,25,3,4.440892098501e-16,6.280369834735e-16
2.4,25,4,5.551115123126e-16,7.850462293419e-16
2.4,25,5,5.551115123126e-16,7.850462293419e-16
2.4,25,6,4.440892098501e-16,6.280369834735e-16
2.4,25,7,5.551115123126e-16,7.850462293419e-16
2.4,25,8,4.440892098501e-16,6.280369834735e-16
2.4,25,9,5.551115123126e-16,7.850462293419e-16
2.4,25,10,5.551115123126e-16,7.850462293419e-16
2.4,26,1,5.551115123126e-16,7.850462293419e-16
2.4,26,2,5.551115123126e-16,7.850462293419e-16
2.4,26,3,5.551115123126e-16,7.850462293419e-16
2.4,26,4,4.440892098501e-16,6.280369834735e-16
2.4,26,5,5.551115123126e-16,7.850462293419e-16
2.4,26,6,6.661338147751e-16,9.420554752103e-16
2.4,26,7,4.440892098501e-16,6.280369834735e-16
2.4,26,8,5.551115123126e-16,7.850462293419e-16
2.4,26,9,5.551115123126e-16,7.850462293419e-16
2.4,26,10,4.440892098501e-16,6.280369834735e-16
2.4,27,1,5.551115123126e-16,7.850462293419e-16
2.4,27,2,6.661338147751e-16,9.420554752103e-16
2.4,27,3,5.551115123126e-16,7.850462293419e-16
2.4,27,4,5.551115123126e-16,7.850462293419e-16
2.4,27,5,5.551115123126e-16,7.850462293419e-16
2.4,27,6,5.551115123126e-16,7.850462293419e-16
2.4,27,7,5.551115123126e-16,7.850462293419e-16
2.4,27,8,5.551115123126e-16,7.850462293419e-16
2.4,27,9,5.551115123126e-16,7.850462293419e-16
2.4,27,10,4.440892098501e-16,6.280369834735e-16
2.4,28,1,5.551115123126e-16,7.850462293419e-16
2.4,28,2,4.440892098501e-16,6.280369834735e-16
2.4,28,3,4.440892098501e-16,6.280369834735e-16
2.4,28,4,5.551115123126e-16,7.850462293419e-16
2.4,28,5,5.551115123126e-16,7.850462293419e-16
2.4,28,6,5.551115123126e-16,7.850462293419e-16
2.4,28,7,4.440892098501e-16,6.280369834735e-16
2.4,28,8,4.440892098501e-16,6.280369834735e-16
2.4,28,9,5.551115123126e-16,7.850462293419e-16
2.4,28,10,5.551115123126e-16,7.850462293419e-16
2.4,29,1,5.551115123126e-16,7.850462293419e-16
2.4,29,2,5.551115123126e-16,7.850462293419e-16
2.4,29,3,5.551115123126e-16,7.850462293419e-16
2.4,29,4,5.551115123126e-16,7.850462293419e-16
2.4,29,5,5.551115123126e-16,7.850462293419e-16
2.4,29,6,5.551115123126e-16,7.850462293419e-16
2.4,29,7,5.551115123126e-16,7.850462293419e-16
2.4,29,8,4.440892098501e-16,6.280369834735e-16
2.4,29,9,4.440892098501e-16,6.280369834735e-16
2.4,29,10,5.551115123126e-16,7.850462293419e-16
2.4,30,1,4.440892098501e-16,6.280369834735e-16
2.4,30,2,6.661338147751e-16,9.420554752103e-16
2.4,30,3,5.551115123126e-16,7.850462293419e-16
2.4,30,4,6.661338147751e-16,9.420554752103e-16
2.4,30,5,5.551115123126e-16,7.850462293419e-16
2.4,30,6,6.661338147751e-16,9.420554752103e-16
2.4,30,7,5.551115123126e-16,7.850462293419e-16
2.4,30,8,4.440892098501e-16,6.280369834735e-16
2.4,30,9,5.551115123126e-16,7.850462293419e-16
2.4,30,10,5.551115123126e-16,7.850462293419e-16
2.4,31,1,6.661338147751e-16,9.420554752103e-16
2.4,31,2,4.440892098501e-16,6.280369834735e-16
2.4,31,3,5.551115123126e-16,7.850462293419e-16
2.4,31,4,5.551115123126e-16,7.850462293419e-16
2.4,31,5,5.551115123126e-16,7.850462293419e-16
2.4,31,6,4.440892098501e-16,6.280369834735e-16
2.4,31,7,5.551115123126e-16,7.850462293419e-16
2.4,31,8,5.551115123126e-16,7.850462293419e-16
2.4,31,9,5.551115123126e-16,7.850462293419e-16
